code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.02432,越疆,2024-12-23 00:00:00,19.7,18.94,21.4,18.78,0.0,0.00878,3105000,61074144.0,0.7446808510638327,18.8
HK.02432,越疆,2024-12-24 00:00:00,19.2,19.24,19.62,19.0,0.0,0.00081,288050,5551974.0,1.583949313621949,18.94
HK.02432,越疆,2024-12-27 00:00:00,19.4,23.7,24.95,19.24,0.0,0.00857,3033125,69117906.0,23.18087318087319,19.24
HK.02432,越疆,2024-12-30 00:00:00,22.6,23.95,24.6,21.55,0.0,0.00308,1089225,25499113.0,1.0548523206751055,23.7
HK.02432,越疆,2024-12-31 00:00:00,24.4,23.7,26.05,23.05,0.0,0.00318,1126800,28156960.0,-1.0438413361169103,23.95
HK.02432,越疆,2025-01-02 00:00:00,23.5,19.1,23.5,19.04,0.0,0.00439,1555000,31737894.0,-19.409282700421933,23.7
HK.02432,越疆,2025-01-03 00:00:00,19.12,19.04,19.78,18.66,0.0,0.00212,750200,14340272.0,-0.31413612565446214,19.1
HK.02432,越疆,2025-01-06 00:00:00,19.04,19.14,19.44,18.6,0.0,0.00092,326200,6212896.0,0.5252100840336209,19.04
HK.02432,越疆,2025-01-07 00:00:00,19.14,18.82,19.4,18.8,0.0,0.01062,3758000,72431916.0,-1.6718913270637423,19.14
HK.02432,越疆,2025-01-08 00:00:00,18.88,18.8,19.14,18.8,0.0,0.00127,450600,8483362.0,-0.10626992561104981,18.82
HK.02432,越疆,2025-01-09 00:00:00,18.8,18.8,19.0,18.8,0.0,0.00201,711400,13379368.0,0.0,18.8
HK.02432,越疆,2025-01-10 00:00:00,18.8,18.8,18.88,18.8,0.0,0.00158,560800,10545996.0,0.0,18.8
HK.02432,越疆,2025-01-13 00:00:00,18.8,18.82,19.4,18.42,0.0,0.00179,633000,12000416.0,0.10638297872340198,18.8
HK.02432,越疆,2025-01-14 00:00:00,18.82,19.9,19.9,18.82,0.0,0.00091,322600,6243776.0,5.738575982996803,18.82
HK.02432,越疆,2025-01-15 00:00:00,19.9,20.0,21.45,19.66,0.0,0.001,354200,7277574.0,0.5025125628140775,19.9
HK.02432,越疆,2025-01-16 00:00:00,20.0,20.3,21.5,19.9,0.0,0.00114,403800,8406988.0,1.5000000000000036,20.0
HK.02432,越疆,2025-01-17 00:00:00,20.5,20.5,21.0,19.8,0.0,0.00067,235400,4782430.0,0.9852216748768439,20.3
HK.02432,越疆,2025-01-20 00:00:00,20.7,20.95,21.0,20.5,0.0,0.00023,83400,1725952.0,2.195121951219509,20.5
HK.02432,越疆,2025-01-21 00:00:00,21.0,21.0,21.35,20.4,0.0,0.00059,212400,4444390.0,0.2386634844868769,20.95
HK.02432,越疆,2025-01-22 00:00:00,20.65,21.0,21.05,20.15,0.0,0.00042,151600,3162170.0,0.0,21.0
HK.02432,越疆,2025-01-23 00:00:00,20.7,20.85,21.8,20.7,0.0,0.00045,160400,3416690.0,-0.7142857142857075,21.0
HK.02432,越疆,2025-01-24 00:00:00,21.15,23.1,23.3,21.0,0.0,0.00138,494000,11100145.0,10.79136690647482,20.85
HK.02432,越疆,2025-01-27 00:00:00,23.1,25.0,25.5,23.1,0.0,0.00192,687600,17087470.0,8.225108225108219,23.1
HK.02432,越疆,2025-01-28 00:00:00,24.35,24.7,24.85,23.7,0.0,0.00025,90600,2191920.0,-1.2000000000000028,25.0
HK.02432,越疆,2025-02-03 00:00:00,24.7,24.95,25.2,23.8,0.0,0.00093,334200,8212780.0,1.0121457489878543,24.7
HK.02432,越疆,2025-02-04 00:00:00,24.95,24.4,24.95,23.55,0.0,0.00079,281800,6803285.0,-2.2044088176352736,24.95
HK.02432,越疆,2025-02-05 00:00:00,24.45,23.25,24.45,22.2,0.0,0.00123,441400,10180750.0,-4.7131147540983545,24.4
HK.02432,越疆,2025-02-06 00:00:00,23.2,25.0,25.2,23.2,0.0,0.00131,469000,11649780.0,7.526881720430108,23.25
HK.02432,越疆,2025-02-07 00:00:00,24.95,26.7,28.5,24.9,0.0,0.00445,1592400,43526210.0,6.799999999999998,25.0
HK.02432,越疆,2025-02-10 00:00:00,27.35,26.3,27.35,25.6,0.0,0.00201,720400,18863480.0,-1.4981273408239646,26.7
HK.02432,越疆,2025-02-11 00:00:00,26.7,26.05,27.5,25.9,0.0,0.00135,484200,12770586.0,-0.9505703422053232,26.3
HK.02432,越疆,2025-02-12 00:00:00,26.1,26.8,27.85,26.1,0.0,0.00158,566200,15208500.0,2.8790786948176583,26.05
HK.02432,越疆,2025-02-13 00:00:00,26.95,27.2,28.25,26.8,0.0,0.0033,1180200,32477230.0,1.4925373134328304,26.8
HK.02432,越疆,2025-02-14 00:00:00,27.35,28.9,29.2,27.0,0.0,0.00259,928400,26047405.0,6.249999999999997,27.2
HK.02432,越疆,2025-02-17 00:00:00,28.9,29.4,31.3,27.6,0.0,0.0077,2755818,81103136.0,1.7301038062283738,28.9
HK.02432,越疆,2025-02-18 00:00:00,30.0,29.0,30.2,28.0,0.0,0.00311,1113800,32261910.0,-1.3605442176870701,29.4
HK.02432,越疆,2025-02-19 00:00:00,29.1,31.2,31.5,28.85,0.0,0.0037,1326500,40466890.0,7.5862068965517215,29.0
HK.02432,越疆,2025-02-20 00:00:00,31.0,31.05,32.05,29.85,0.0,0.0025,896200,27751756.0,-0.4807692307692262,31.2
HK.02432,越疆,2025-02-21 00:00:00,31.5,32.8,33.45,31.2,0.0,0.00426,1525400,49778565.0,5.636070853462146,31.05
HK.02432,越疆,2025-02-24 00:00:00,32.5,31.2,32.75,30.35,0.0,0.0035,1252400,39056545.0,-4.8780487804877986,32.8
HK.02432,越疆,2025-02-25 00:00:00,30.35,31.45,32.35,29.45,0.0,0.00409,1462600,45867455.0,0.8012820512820514,31.2
HK.02432,越疆,2025-02-26 00:00:00,31.45,33.25,33.8,30.45,0.0,0.00449,1607200,52515048.0,5.7233704292527845,31.45
HK.02432,越疆,2025-02-27 00:00:00,33.25,33.35,35.0,32.6,0.0,0.00347,1241400,41590421.0,0.3007518796992524,33.25
HK.02432,越疆,2025-02-28 00:00:00,33.3,31.5,33.3,30.9,0.0,0.00306,1097000,34779540.0,-5.547226386806601,33.35
HK.02432,越疆,2025-03-03 00:00:00,31.55,31.7,33.0,29.85,0.0,0.00369,1319800,41498480.0,0.6349206349206327,31.5
HK.02432,越疆,2025-03-04 00:00:00,31.75,32.45,33.45,30.75,0.0,0.00285,1020800,33193420.0,2.3659305993690967,31.7
HK.02432,越疆,2025-03-05 00:00:00,32.8,33.75,34.85,32.25,0.0,0.00306,1096000,36571950.0,4.006163328197218,32.45
HK.02432,越疆,2025-03-06 00:00:00,34.0,34.9,35.4,34.0,0.0,0.0027,966000,33591620.0,3.4074074074074034,33.75
HK.02432,越疆,2025-03-07 00:00:00,34.7,34.6,35.75,33.5,0.0,0.00543,1944600,67204001.0,-0.8595988538681867,34.9
HK.02432,越疆,2025-03-10 00:00:00,37.4,36.45,38.2,34.05,0.0,0.0314,11243400,409065622.0,5.346820809248558,34.6
HK.02432,越疆,2025-03-11 00:00:00,36.0,40.55,41.2,35.2,0.0,0.02589,9270370,357527349.0,11.248285322359381,36.45
HK.02432,越疆,2025-03-12 00:00:00,42.95,51.7,57.2,41.05,0.0,0.08383,30015243,1513816797.0,27.4969173859433,40.55
HK.02432,越疆,2025-03-13 00:00:00,52.6,62.25,68.85,52.05,0.0,0.09505,34030680,2052274032.0,20.40618955512572,51.7
HK.02432,越疆,2025-03-14 00:00:00,65.3,58.3,71.4,58.0,0.0,0.06401,22916618,1447270211.0,-6.345381526104423,62.25
HK.02432,越疆,2025-03-17 00:00:00,58.6,53.45,61.5,52.0,0.0,0.03255,11655456,640162126.0,-8.319039451114914,58.3
HK.02432,越疆,2025-03-18 00:00:00,53.95,68.35,68.35,48.2,0.0,0.10628,38051324,2217124420.0,27.876520112254425,53.45
HK.02432,越疆,2025-03-19 00:00:00,70.0,72.7,83.8,65.25,0.0,0.13008,46575300,3544992663.0,6.364301389904914,68.35
HK.02432,越疆,2025-03-20 00:00:00,75.55,74.3,79.8,72.0,0.0,0.07048,25234490,1921994650.0,2.200825309491051,72.7
HK.02432,越疆,2025-03-21 00:00:00,75.0,70.0,78.7,67.5,0.0,0.05233,18737166,1379234479.0,-5.787348586810225,74.3
HK.02432,越疆,2025-03-24 00:00:00,71.45,74.65,76.9,66.25,0.0,0.05811,20806384,1500059853.0,6.64285714285715,70.0
HK.02432,越疆,2025-03-25 00:00:00,75.0,70.6,77.55,68.8,0.0,0.04312,15439680,1145212860.0,-5.425318151373089,74.65
HK.02432,越疆,2025-03-26 00:00:00,71.5,68.85,74.2,68.4,0.0,0.02802,10031591,711306150.0,-2.4787535410764874,70.6
HK.02432,越疆,2025-03-27 00:00:00,68.5,64.0,69.95,64.0,0.0,0.02655,9506464,635184989.0,-7.044299201161938,68.85
HK.02432,越疆,2025-03-28 00:00:00,64.5,59.75,65.15,59.6,0.0,0.02763,9894163,608823750.0,-6.640625,64.0
HK.02432,越疆,2025-03-31 00:00:00,59.0,61.05,62.5,57.35,0.0,0.0316,11312437,678180882.0,2.175732217573217,59.75
HK.02432,越疆,2025-04-01 00:00:00,62.3,73.65,73.9,61.9,0.0,0.05367,19214822,1280555586.0,20.638820638820654,61.05
HK.02432,越疆,2025-04-02 00:00:00,72.4,70.45,77.7,69.0,0.0,0.06036,21609462,1608932743.0,-4.344874405974205,73.65
HK.02432,越疆,2025-04-03 00:00:00,70.0,67.75,73.4,66.25,0.0,0.03301,11819666,819789767.0,-3.8325053229240638,70.45
HK.02432,越疆,2025-04-07 00:00:00,60.5,49.4,63.4,48.95,0.0,0.03636,13017420,707817220.0,-27.084870848708487,67.75
HK.02432,越疆,2025-04-08 00:00:00,53.5,60.3,62.65,52.6,0.0,0.06519,23340668,1341511977.0,22.06477732793522,49.4
HK.02432,越疆,2025-04-09 00:00:00,57.4,61.9,65.9,57.0,0.0,0.05277,18892900,1186344211.0,2.653399668325044,60.3
HK.02432,越疆,2025-04-10 00:00:00,66.2,65.6,70.0,63.95,0.0,0.0369,13211100,885187536.0,5.97738287560581,61.9
HK.02432,越疆,2025-04-11 00:00:00,66.0,67.55,69.15,64.05,0.0,0.02784,9969264,674670630.0,2.9725609756097606,65.6
HK.02432,越疆,2025-04-14 00:00:00,70.4,67.8,70.8,66.75,0.0,0.01867,6685800,460490200.0,0.3700962250185048,67.55
HK.02432,越疆,2025-04-15 00:00:00,68.7,70.9,72.5,65.8,0.0,0.02851,10207800,709229215.0,4.572271386430691,67.8
HK.02432,越疆,2025-04-16 00:00:00,70.5,68.0,72.4,68.0,0.0,0.01686,6036200,421807180.0,-4.090267983074761,70.9
HK.02432,越疆,2025-04-17 00:00:00,68.55,64.35,68.95,64.2,0.0,0.01495,5351600,354659900.0,-5.367647058823538,68.0
HK.02432,越疆,2025-04-22 00:00:00,66.15,64.5,67.55,64.35,0.0,0.01352,4841700,318825330.0,0.23310023310024194,64.35
HK.02432,越疆,2025-04-23 00:00:00,66.3,76.0,76.85,65.5,0.0,0.06051,21665804,1564841390.0,17.829457364341085,64.5
HK.02432,越疆,2025-04-24 00:00:00,75.9,74.3,78.4,72.5,0.0,0.02156,7721000,578498993.0,-2.2368421052631615,76.0
HK.02432,越疆,2025-04-25 00:00:00,76.4,71.45,79.35,70.45,0.0,0.02689,9628360,724356306.0,-3.835800807537005,74.3
HK.02432,越疆,2025-04-28 00:00:00,72.4,72.2,73.7,70.55,0.0,0.01139,4077020,293895711.0,1.0496850944716585,71.45
HK.02432,越疆,2025-04-29 00:00:00,73.0,72.55,74.5,71.05,0.0,0.01121,4012280,292070486.0,0.4847645429362802,72.2
HK.02432,越疆,2025-04-30 00:00:00,72.75,73.85,77.65,70.4,0.0,0.02461,8812808,653959502.0,1.7918676774638143,72.55
HK.02432,越疆,2025-05-02 00:00:00,73.85,74.3,75.6,73.0,0.0,0.0023,821800,61057362.0,0.6093432633717033,73.85
HK.02432,越疆,2025-05-06 00:00:00,74.8,72.4,76.95,72.0,0.0,0.01284,4598400,341572313.0,-2.5572005383579968,74.3
HK.02432,越疆,2025-05-07 00:00:00,74.3,72.4,74.3,66.9,0.0,0.01864,6675020,465010982.0,0.0,72.4
HK.02432,越疆,2025-05-08 00:00:00,70.35,70.15,72.1,69.8,0.0,0.00559,2002400,141715207.0,-3.107734806629834,72.4
HK.02432,越疆,2025-05-09 00:00:00,70.8,68.5,71.4,67.75,0.0,0.00713,2551235,175288117.0,-2.352102637205995,70.15
HK.02432,越疆,2025-05-12 00:00:00,71.0,71.9,72.0,69.6,0.0,0.01462,5235420,372314061.0,4.963503649635045,68.5
HK.02432,越疆,2025-05-13 00:00:00,75.25,71.75,76.25,70.5,0.0,0.01518,5435690,399697898.0,-0.2086230876217047,71.9
HK.02432,越疆,2025-05-14 00:00:00,72.85,71.6,73.8,71.15,0.0,0.00697,2495660,179991729.0,-0.2090592334494853,71.75
HK.02432,越疆,2025-05-15 00:00:00,72.15,70.05,72.15,69.8,0.0,0.00489,1750800,123253500.0,-2.164804469273739,71.6
HK.02432,越疆,2025-05-16 00:00:00,70.4,69.5,72.7,69.0,0.0,0.01078,3861250,273552259.0,-0.7851534618129867,70.05
HK.02432,越疆,2025-05-19 00:00:00,69.5,66.65,69.65,66.05,0.0,0.01054,3774801,253197176.0,-4.100719424460424,69.5
HK.02432,越疆,2025-05-20 00:00:00,66.1,67.0,67.8,66.1,0.0,0.00572,2048000,136832600.0,0.5251312828206965,66.65
HK.02432,越疆,2025-05-21 00:00:00,67.5,66.25,67.5,66.0,0.0,0.00473,1691800,112361340.0,-1.1194029850746268,67.0
HK.02432,越疆,2025-05-22 00:00:00,66.55,67.2,69.4,66.4,0.0,0.00833,2983200,202223330.0,1.4339622641509477,66.25
HK.02432,越疆,2025-05-23 00:00:00,67.2,66.65,68.7,66.5,0.0,0.00543,1945725,130885441.0,-0.8184523809523767,67.2
HK.02432,越疆,2025-05-26 00:00:00,67.05,64.8,67.5,64.65,0.0,0.00319,1142200,74762400.0,-2.775693923480883,66.65
